duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,department_change,division_change,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
20,.under_1,Adult Services,27.8076,1,F,,U,A,over_60,over_60,Staff,0,0,0.0,20.365497685185183,wop7wqDCk8KDwqI=,Retirement
20,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,20.365497685185183,wop7wqDCksKJwqE=,Retirement
20,.under_1,Adult Services,26.7381,1,F,NSPEC,U,A,55_to_59,55_to_59,Staff,0,0,0.0,20.365497685185183,wop7wqDCksKFwqY=,Retirement
20,.under_1,Children Services,14.4364,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,20.365497685185183,wop7wqDCksKFwqU=,Retirement
20,.under_1,Adult Services,16.6739,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,20.365497685185183,wop7wqDCksKFwqQ=,Retirement
20,.under_1,Adult Services,26.7381,1,M,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,20.365497685185183,wop7wqDCksKFwp4=,Retirement
34,.under_1,Public Authority,14.4364,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,34.36549768518518,wop7wp_Cm8KLwp4=,Retirement
34,.under_1,Self Sufficiency,19.6912,1,M,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,34.36549768518518,wop7wp_Cm8KLwp0=,Retirement
34,.under_1,Children Services,14.4364,1,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0,0,0.0,34.36549768518518,wop7wp_Cm8KKwqY=,Retirement
34,.under_1,Adult Services,39.33,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,34.36549768518518,wop7wp_Cm8KKwqU=,Retirement
34,.under_1,Adult Services,14.4364,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,34.36549768518518,wop7wp_Cm8KKwqQ=,Retirement
34,.under_1,Self Sufficiency,16.2028,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,34.36549768518518,wop7wp_Cm8KDwqU=,Retirement
34,.under_1,Adult Services,15.416,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,34.36549768518518,wop7wp_CmsKKwp4=,Retirement
34,.under_1,Self Sufficiency,18.7559,1,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0,0,0.0,34.36549768518518,wop7wp_CmsKKwp0=,Retirement
34,.under_1,Self Sufficiency,17.3409,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,34.36549768518518,wop7wp_CmsKDwqM=,Retirement
34,.under_1,Administrative Services,30.3789,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,34.36549768518518,wop7wp_CmcKJwp4=,Retirement
48,.under_1,Adult Services,26.7381,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,48.36549768518518,wop7wp_CmMKGwqM=,Retirement
62,.under_1,Children Services,14.4364,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,62.36549768518518,wop7wp_CmMKGwqI=,Retirement
62,.under_1,Children Services,15.416,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,62.36549768518518,wop7wp_CmMKGwqE=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_CmMKGwp4=,Retirement
62,.under_1,Adult Services,29.5379,1,M,NSPEC,U,A,35_to_39,35_to_39,Staff,0,0,0.0,62.36549768518518,wop7wp_CmMKEwqI=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KJwp8=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KJwp4=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KJwp0=,Retirement
